Location,Date,Average Temp (°C),Precipitation (mm),Rain
Istanbul,2025-06-11,22.0,1.1,Yes
Beirut,2025-06-12,23.9,0.2,Yes
Paris,2025-06-12,17.1,3.6,Yes
Riyadh,2025-06-12,35.4,0.0,No
Cairo,2025-06-12,28.8,0.0,No
LA,2025-06-12,20.0,0.0,No
Istanbul,2025-06-12,22.0,2.4,Yes
Beirut,2025-06-13,23.8,0.7,Yes
Paris,2025-06-13,17.0,0.9,Yes
Riyadh,2025-06-13,34.9,0.0,No
Cairo,2025-06-13,28.6,0.0,No
LA,2025-06-13,20.0,0.0,No
Istanbul,2025-06-13,22.5,0.4,Yes
Beirut,2025-06-14,24.0,0.2,Yes
Paris,2025-06-14,18.0,1.4,Yes
Riyadh,2025-06-14,34.9,0.0,No
Cairo,2025-06-14,28.6,0.0,No
LA,2025-06-14,20.8,0.0,No
Istanbul,2025-06-14,22.4,1.5,Yes
Beirut,2025-06-15,24.2,0.0,No
Paris,2025-06-15,17.9,2.8,Yes
Riyadh,2025-06-15,35.0,0.0,No
Cairo,2025-06-15,28.8,0.0,No
LA,2025-06-15,20.7,0.0,No
Istanbul,2025-06-15,22.6,1.9,Yes
Beirut,2025-06-16,24.7,0.0,No
Paris,2025-06-16,17.8,1.9,Yes
Riyadh,2025-06-16,35.6,0.0,No
Cairo,2025-06-16,29.5,0.0,No
LA,2025-06-16,20.5,0.0,No
Istanbul,2025-06-16,22.9,1.8,Yes
Beirut,2025-06-17,25.3,0.0,No
Paris,2025-06-17,18.7,1.9,Yes
Riyadh,2025-06-17,35.6,0.0,No
Cairo,2025-06-17,29.8,0.0,No
LA,2025-06-17,20.8,0.0,No
Istanbul,2025-06-17,23.3,0.4,Yes
Beirut,2025-06-18,25.3,0.2,Yes
Paris,2025-06-18,19.1,4.6,Yes
Riyadh,2025-06-18,35.6,0.0,No
Cairo,2025-06-18,29.6,0.0,No
LA,2025-06-18,21.1,0.0,No
Istanbul,2025-06-18,22.8,1.1,Yes
Beirut,2025-06-19,25.0,0.3,Yes
Paris,2025-06-19,18.2,3.1,Yes
Riyadh,2025-06-19,35.5,0.0,No
Cairo,2025-06-19,29.7,0.0,No
LA,2025-06-19,21.9,0.0,No
Istanbul,2025-06-19,22.6,5.1,Yes
Beirut,2025-06-20,24.9,0.0,No
Paris,2025-06-20,18.0,3.4,Yes
Riyadh,2025-06-20,35.7,0.0,No
Cairo,2025-06-20,29.7,0.0,No
LA,2025-06-20,22.6,0.0,No
Istanbul,2025-06-20,23.0,1.1,Yes
Beirut,2025-06-21,24.9,0.0,No
Paris,2025-06-21,18.2,2.4,Yes
Riyadh,2025-06-21,35.2,0.0,No
Cairo,2025-06-21,29.8,0.0,No
LA,2025-06-21,21.8,0.0,No
Istanbul,2025-06-21,23.6,0.5,Yes
Beirut,2025-06-22,25.3,0.0,No
Paris,2025-06-22,17.9,5.7,Yes
Riyadh,2025-06-22,35.0,0.0,No
Cairo,2025-06-22,30.0,0.0,No
LA,2025-06-22,21.6,0.3,Yes
Istanbul,2025-06-22,23.7,0.4,Yes
Beirut,2025-06-23,25.4,0.1,Yes
Paris,2025-06-23,18.3,0.5,Yes
Riyadh,2025-06-23,34.9,0.0,No
Cairo,2025-06-23,30.0,0.0,No
LA,2025-06-23,21.3,0.0,No
Istanbul,2025-06-23,23.9,2.0,Yes
Beirut,2025-06-24,25.7,0.5,Yes
Paris,2025-06-24,18.7,1.0,Yes
Riyadh,2025-06-24,34.8,0.0,No
Cairo,2025-06-24,29.8,0.0,No
LA,2025-06-24,21.3,0.0,No
Istanbul,2025-06-24,23.8,1.0,Yes
Beirut,2025-06-25,25.9,0.2,Yes
Paris,2025-06-25,19.4,1.5,Yes
Riyadh,2025-06-25,35.2,0.0,No
Cairo,2025-06-25,29.6,0.0,No
LA,2025-06-25,21.6,0.0,No
Istanbul,2025-06-25,23.9,0.1,Yes
Beirut,2025-06-26,26.1,0.0,No
Paris,2025-06-26,19.9,1.3,Yes
Riyadh,2025-06-26,35.6,0.0,No
Cairo,2025-06-26,29.9,0.0,No
LA,2025-06-26,22.6,0.0,No
Istanbul,2025-06-26,23.8,0.6,Yes
Beirut,2025-06-27,26.2,0.0,No
Paris,2025-06-27,19.8,1.6,Yes
Riyadh,2025-06-27,35.4,0.0,No
Cairo,2025-06-27,30.4,0.0,No
LA,2025-06-27,23.2,0.0,No
Istanbul,2025-06-27,23.8,0.8,Yes
Beirut,2025-06-28,25.8,0.0,No
Paris,2025-06-28,19.9,4.1,Yes
Riyadh,2025-06-28,35.4,0.0,No
Cairo,2025-06-28,29.7,0.0,No
LA,2025-06-28,22.9,0.1,Yes
Istanbul,2025-06-28,23.8,1.8,Yes
Beirut,2025-06-29,25.8,0.1,Yes
Paris,2025-06-29,19.2,3.1,Yes
Riyadh,2025-06-29,35.7,0.0,No
Cairo,2025-06-29,29.7,0.0,No
LA,2025-06-29,22.5,0.0,No
Istanbul,2025-06-29,23.6,0.6,Yes
Beirut,2025-06-30,25.9,0.0,No
Paris,2025-06-30,19.0,2.4,Yes
Riyadh,2025-06-30,35.9,0.0,No
Cairo,2025-06-30,29.4,0.0,No
LA,2025-06-30,23.0,0.0,No
Istanbul,2025-06-30,24.1,1.0,Yes
Beirut,2025-07-01,26.0,0.0,No
Paris,2025-07-01,19.8,1.1,Yes
Riyadh,2025-07-01,36.0,0.0,No
Cairo,2025-07-01,29.7,0.0,No
LA,2025-07-01,22.8,0.0,No
Istanbul,2025-07-01,24.6,0.5,Yes
Beirut,2025-07-02,26.3,0.0,No
Paris,2025-07-02,19.8,0.5,Yes
Riyadh,2025-07-02,36.1,0.0,No
Cairo,2025-07-02,30.0,0.0,No
LA,2025-07-02,22.5,0.1,Yes
Istanbul,2025-07-02,24.6,0.7,Yes
Beirut,2025-07-03,26.5,0.0,No
Paris,2025-07-03,19.4,1.5,Yes
Riyadh,2025-07-03,35.9,0.0,No
Cairo,2025-07-03,30.2,0.0,No
LA,2025-07-03,22.3,0.0,No
Istanbul,2025-07-03,24.6,0.9,Yes
Beirut,2025-07-04,26.6,0.0,No
Paris,2025-07-04,20.1,1.6,Yes
Riyadh,2025-07-04,36.1,0.0,No
Cairo,2025-07-04,30.0,0.0,No
LA,2025-07-04,22.3,0.0,No
Istanbul,2025-07-04,24.2,0.7,Yes
Beirut,2025-07-05,26.2,0.0,No
Paris,2025-07-05,19.8,1.9,Yes
Riyadh,2025-07-05,36.2,0.0,No
Cairo,2025-07-05,29.3,0.0,No
LA,2025-07-05,22.5,0.0,No
Istanbul,2025-07-05,24.5,0.2,Yes
Beirut,2025-07-06,25.9,0.0,No
Paris,2025-07-06,19.7,1.4,Yes
Riyadh,2025-07-06,36.1,0.0,No
Cairo,2025-07-06,29.6,0.0,No
LA,2025-07-06,23.1,0.0,No
Istanbul,2025-07-06,24.6,0.7,Yes
Beirut,2025-07-07,26.1,0.0,No
Paris,2025-07-07,20.2,0.6,Yes
Riyadh,2025-07-07,36.4,0.0,No
Cairo,2025-07-07,30.0,0.0,No
LA,2025-07-07,23.2,0.0,No
Istanbul,2025-07-07,25.0,0.4,Yes
Beirut,2025-07-08,26.3,0.0,No
Paris,2025-07-08,19.7,0.2,Yes
Riyadh,2025-07-08,36.7,0.0,No
Cairo,2025-07-08,30.0,0.0,No
LA,2025-07-08,23.3,0.0,No
Istanbul,2025-07-08,24.4,2.0,Yes
Beirut,2025-07-09,26.8,0.0,No
Paris,2025-07-09,19.9,3.4,Yes
Riyadh,2025-07-09,36.7,0.0,No
Cairo,2025-07-09,30.2,0.0,No
LA,2025-07-09,23.5,0.0,No
Istanbul,2025-07-09,24.8,0.4,Yes
Beirut,2025-07-10,27.0,0.0,No
Paris,2025-07-10,19.5,3.4,Yes
Riyadh,2025-07-10,36.5,0.0,No
Cairo,2025-07-10,30.2,0.0,No
LA,2025-07-10,23.7,0.0,No
Istanbul,2025-07-10,24.7,8.0,Yes
Beirut,2025-07-11,27.1,0.0,No
Paris,2025-07-11,19.6,0.4,Yes
Riyadh,2025-07-11,36.6,0.0,No
Cairo,2025-07-11,30.5,0.0,No
LA,2025-07-11,23.7,0.0,No
Istanbul,2025-07-11,24.7,3.4,Yes
Beirut,2025-07-12,27.3,0.0,No
Paris,2025-07-12,19.2,3.4,Yes
Riyadh,2025-07-12,36.9,0.0,No
Cairo,2025-07-12,30.7,0.0,No
LA,2025-07-12,23.6,0.0,No
Istanbul,2025-07-12,24.9,0.2,Yes
Beirut,2025-07-13,27.1,0.0,No
Paris,2025-07-13,19.0,2.5,Yes
Riyadh,2025-07-13,36.9,0.0,No
Cairo,2025-07-13,30.1,0.0,No
LA,2025-07-13,23.9,0.0,No
Istanbul,2025-07-13,24.8,0.2,Yes
Beirut,2025-07-14,27.0,0.0,No
Paris,2025-07-14,18.9,3.0,Yes
Riyadh,2025-07-14,36.9,0.0,No
Cairo,2025-07-14,30.2,0.0,No
LA,2025-07-14,23.8,0.3,Yes
Istanbul,2025-07-14,24.9,0.7,Yes
Beirut,2025-07-15,27.2,0.2,Yes
Paris,2025-07-15,19.4,0.3,Yes
Riyadh,2025-07-15,37.0,0.0,No
Cairo,2025-07-15,30.6,0.0,No
LA,2025-07-15,23.6,0.7,Yes
Istanbul,2025-07-15,24.7,1.7,Yes
Beirut,2025-07-16,27.2,0.0,No
Paris,2025-07-16,20.5,1.9,Yes
Riyadh,2025-07-16,37.0,0.0,No
Cairo,2025-07-16,30.9,0.0,No
LA,2025-07-16,23.4,0.0,No
Istanbul,2025-07-16,25.0,0.5,Yes
Beirut,2025-07-17,27.2,0.0,No
Paris,2025-07-17,20.6,1.2,Yes
Riyadh,2025-07-17,36.6,0.0,No
Cairo,2025-07-17,31.0,0.0,No
